block_height,market,position,account,side,asset,amount_base_units
9049309,zest-v2,SP3V34ZZ9XHR1GA9Y79ANT19EVFNN26MQY3A1JGT0,SP3V34ZZ9XHR1GA9Y79ANT19EVFNN26MQY3A1JGT0,collateral,zstSTXbtc,4999015
9049309,zest-v2,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,collateral,zUSDC,999465
9049309,zest-v2,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,debt,STX,1010166
9049309,zest-v2,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,debt_stored,STX,988234
9049309,zest-v2,SP1A91KESHC6E2D4M18ZSGC6120TZBTT8D6RCD0CE,SP1A91KESHC6E2D4M18ZSGC6120TZBTT8D6RCD0CE,collateral,zstSTXbtc,250000
9049309,zest-v2,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,collateral,zsBTC,310077069
9049309,zest-v2,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,debt,USDC,161231278184
9049309,zest-v2,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,debt_stored,USDC,159487211335
9049309,zest-v2,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,collateral,zSTX,2182068040736
9049309,zest-v2,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,debt,USDC,151331306724
9049309,zest-v2,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,debt_stored,USDC,149694329592
9049309,zest-v2,SP39H80JHGD2QXVFSM1VN3NEVKHVXF5CV9B0A9RQH,SP39H80JHGD2QXVFSM1VN3NEVKHVXF5CV9B0A9RQH,collateral,zUSDC,9998435719062
9049309,zest-v2,SP1RBRTZVFADS0K26SHWFWDA2G9QJFNE0HXQ4NX8P,SP1RBRTZVFADS0K26SHWFWDA2G9QJFNE0HXQ4NX8P,collateral,zsBTC,189
9049309,zest-v2,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,collateral,zstBTC,2151
9049309,zest-v2,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,debt,USDC,252117
9049309,zest-v2,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,debt_stored,USDC,249389
