block_height,market,position,account,side,asset,amount_base_units
9049309,granite-usdcx,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,debt,usdcx,2
9049309,granite-usdcx,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,debt_stored,shares,1
9049309,granite-usdcx,SP1S2ZTV7QVAYBRJVB85FHXE7P8PZZHXVCERMEHN9,SP1S2ZTV7QVAYBRJVB85FHXE7P8PZZHXVCERMEHN9,collateral,sBTC,100000
9049309,granite-usdcx,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,collateral,sBTC,4874
9049309,granite-usdcx,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,debt,usdcx,1003
9049309,granite-usdcx,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,SP1T07GK9H4M0WP4N1DSSA7NJ7GNTQZ0GBZM0GAR2,debt_stored,shares,992
9049309,granite-usdcx,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,collateral,sBTC,405827
9049309,granite-usdcx,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,debt,usdcx,40002619
9049309,granite-usdcx,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,SP1ZJHN74VH26SPHHJB4YP6NSEYVKFZD1W0ZK5K9H,debt_stored,shares,39593810
9049309,granite-usdcx,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,collateral,sBTC,5759537
9049309,granite-usdcx,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,debt,usdcx,2115383671
9049309,granite-usdcx,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,SP2154FKKKX40REDZQSEX9WMAPVZ4SYYJ193BSPR4,debt_stored,shares,2093765439
9049309,granite-usdcx,SP21GTVTEEDQBBQSK6FPEG4G4XGQRJGJDQV41CAD,SP21GTVTEEDQBBQSK6FPEG4G4XGQRJGJDQV41CAD,collateral,sBTC,43249777
9049309,granite-usdcx,SP21GTVTEEDQBBQSK6FPEG4G4XGQRJGJDQV41CAD,SP21GTVTEEDQBBQSK6FPEG4G4XGQRJGJDQV41CAD,debt,usdcx,10002863051
9049309,granite-usdcx,SP21GTVTEEDQBBQSK6FPEG4G4XGQRJGJDQV41CAD,SP21GTVTEEDQBBQSK6FPEG4G4XGQRJGJDQV41CAD,debt_stored,shares,9900638472
9049309,granite-usdcx,SP22YFNH4BYXM6QK3XN55JTJSRBHE99K5VPH8S4BR,SP22YFNH4BYXM6QK3XN55JTJSRBHE99K5VPH8S4BR,collateral,sBTC,71301900
9049309,granite-usdcx,SP22YFNH4BYXM6QK3XN55JTJSRBHE99K5VPH8S4BR,SP22YFNH4BYXM6QK3XN55JTJSRBHE99K5VPH8S4BR,debt,usdcx,26835786171
9049309,granite-usdcx,SP22YFNH4BYXM6QK3XN55JTJSRBHE99K5VPH8S4BR,SP22YFNH4BYXM6QK3XN55JTJSRBHE99K5VPH8S4BR,debt_stored,shares,26561536995
9049309,granite-usdcx,SP23ZSH34VFD9WC6FVWYNKJAVME1SN89ZWHHR5NCC,SP23ZSH34VFD9WC6FVWYNKJAVME1SN89ZWHHR5NCC,collateral,sBTC,3087865
9049309,granite-usdcx,SP23ZSH34VFD9WC6FVWYNKJAVME1SN89ZWHHR5NCC,SP23ZSH34VFD9WC6FVWYNKJAVME1SN89ZWHHR5NCC,debt,usdcx,601443659
9049309,granite-usdcx,SP23ZSH34VFD9WC6FVWYNKJAVME1SN89ZWHHR5NCC,SP23ZSH34VFD9WC6FVWYNKJAVME1SN89ZWHHR5NCC,debt_stored,shares,595297186
9049309,granite-usdcx,SP2GMT23R9WWF12B9S1795RPV18PG50S1V66DNK22,SP2GMT23R9WWF12B9S1795RPV18PG50S1V66DNK22,collateral,sBTC,459623001
9049309,granite-usdcx,SP2GMT23R9WWF12B9S1795RPV18PG50S1V66DNK22,SP2GMT23R9WWF12B9S1795RPV18PG50S1V66DNK22,debt,usdcx,167930990754
9049309,granite-usdcx,SP2GMT23R9WWF12B9S1795RPV18PG50S1V66DNK22,SP2GMT23R9WWF12B9S1795RPV18PG50S1V66DNK22,debt_stored,shares,166214814622
9049309,granite-usdcx,SP2QMKJ1WP899FG20DP0A1ECA5C64EMNB0N33WB74,SP2QMKJ1WP899FG20DP0A1ECA5C64EMNB0N33WB74,collateral,sBTC,44085
9049309,granite-usdcx,SP2QMKJ1WP899FG20DP0A1ECA5C64EMNB0N33WB74,SP2QMKJ1WP899FG20DP0A1ECA5C64EMNB0N33WB74,debt,usdcx,14120674
9049309,granite-usdcx,SP2QMKJ1WP899FG20DP0A1ECA5C64EMNB0N33WB74,SP2QMKJ1WP899FG20DP0A1ECA5C64EMNB0N33WB74,debt_stored,shares,13976367
9049309,granite-usdcx,SP2VWSP59FEVDXXYGGWYG90M3N67ZST2AGQK6Q5RY,SP2VWSP59FEVDXXYGGWYG90M3N67ZST2AGQK6Q5RY,collateral,sBTC,35
9049309,granite-usdcx,SP2VWSP59FEVDXXYGGWYG90M3N67ZST2AGQK6Q5RY,SP2VWSP59FEVDXXYGGWYG90M3N67ZST2AGQK6Q5RY,debt,usdcx,5
9049309,granite-usdcx,SP2VWSP59FEVDXXYGGWYG90M3N67ZST2AGQK6Q5RY,SP2VWSP59FEVDXXYGGWYG90M3N67ZST2AGQK6Q5RY,debt_stored,shares,4
9049309,granite-usdcx,SP2YWSAM488HZ0BG7RV9KHHD9WSG3V7HXKX1ZD7S,SP2YWSAM488HZ0BG7RV9KHHD9WSG3V7HXKX1ZD7S,collateral,sBTC,110827000
9049309,granite-usdcx,SP2YWSAM488HZ0BG7RV9KHHD9WSG3V7HXKX1ZD7S,SP2YWSAM488HZ0BG7RV9KHHD9WSG3V7HXKX1ZD7S,debt,usdcx,38738951202
9049309,granite-usdcx,SP2YWSAM488HZ0BG7RV9KHHD9WSG3V7HXKX1ZD7S,SP2YWSAM488HZ0BG7RV9KHHD9WSG3V7HXKX1ZD7S,debt_stored,shares,38343057251
9049309,granite-usdcx,SP2Z0HPNE0EN7BRSESTPEMRBB4EB6KTYFE9CC82CW,SP2Z0HPNE0EN7BRSESTPEMRBB4EB6KTYFE9CC82CW,collateral,sBTC,100085
9049309,granite-usdcx,SP2Z0HPNE0EN7BRSESTPEMRBB4EB6KTYFE9CC82CW,SP2Z0HPNE0EN7BRSESTPEMRBB4EB6KTYFE9CC82CW,debt,usdcx,39077553
9049309,granite-usdcx,SP2Z0HPNE0EN7BRSESTPEMRBB4EB6KTYFE9CC82CW,SP2Z0HPNE0EN7BRSESTPEMRBB4EB6KTYFE9CC82CW,debt_stored,shares,38678198
9049309,granite-usdcx,SP322MZH33TRF1KDD3746FMN29JVCEX4086RBSZQR,SP322MZH33TRF1KDD3746FMN29JVCEX4086RBSZQR,collateral,sBTC,870
9049309,granite-usdcx,SP322MZH33TRF1KDD3746FMN29JVCEX4086RBSZQR,SP322MZH33TRF1KDD3746FMN29JVCEX4086RBSZQR,debt,usdcx,257968
9049309,granite-usdcx,SP322MZH33TRF1KDD3746FMN29JVCEX4086RBSZQR,SP322MZH33TRF1KDD3746FMN29JVCEX4086RBSZQR,debt_stored,shares,255331
9049309,granite-usdcx,SP327KCNPVJZ8BKVJ4BRH65ERT1BGDRRPE539WFGT,SP327KCNPVJZ8BKVJ4BRH65ERT1BGDRRPE539WFGT,collateral,sBTC,76964083
9049309,granite-usdcx,SP327KCNPVJZ8BKVJ4BRH65ERT1BGDRRPE539WFGT,SP327KCNPVJZ8BKVJ4BRH65ERT1BGDRRPE539WFGT,debt,usdcx,27739716249
9049309,granite-usdcx,SP327KCNPVJZ8BKVJ4BRH65ERT1BGDRRPE539WFGT,SP327KCNPVJZ8BKVJ4BRH65ERT1BGDRRPE539WFGT,debt_stored,shares,27456229331
9049309,granite-usdcx,SP34M22KZDV4TYQZEAM10XC96TZR1G5W75FRHG3KA,SP34M22KZDV4TYQZEAM10XC96TZR1G5W75FRHG3KA,collateral,sBTC,35
9049309,granite-usdcx,SP34M22KZDV4TYQZEAM10XC96TZR1G5W75FRHG3KA,SP34M22KZDV4TYQZEAM10XC96TZR1G5W75FRHG3KA,debt,usdcx,10646
9049309,granite-usdcx,SP34M22KZDV4TYQZEAM10XC96TZR1G5W75FRHG3KA,SP34M22KZDV4TYQZEAM10XC96TZR1G5W75FRHG3KA,debt_stored,shares,10537
9049309,granite-usdcx,SP3BEYCVV6C93XMCG05JKBB8YHCKCVJRQG0VY5TWC,SP3BEYCVV6C93XMCG05JKBB8YHCKCVJRQG0VY5TWC,collateral,sBTC,364995051
9049309,granite-usdcx,SP3BEYCVV6C93XMCG05JKBB8YHCKCVJRQG0VY5TWC,SP3BEYCVV6C93XMCG05JKBB8YHCKCVJRQG0VY5TWC,debt,usdcx,83852819258
9049309,granite-usdcx,SP3BEYCVV6C93XMCG05JKBB8YHCKCVJRQG0VY5TWC,SP3BEYCVV6C93XMCG05JKBB8YHCKCVJRQG0VY5TWC,debt_stored,shares,82995882689
9049309,granite-usdcx,SP3H8CQHXHY05EXPPR1AP5141A1QTVY2TSK5NCC2K,SP3H8CQHXHY05EXPPR1AP5141A1QTVY2TSK5NCC2K,collateral,sBTC,127646733
9049309,granite-usdcx,SP3H8CQHXHY05EXPPR1AP5141A1QTVY2TSK5NCC2K,SP3H8CQHXHY05EXPPR1AP5141A1QTVY2TSK5NCC2K,debt,usdcx,38998661439
9049309,granite-usdcx,SP3H8CQHXHY05EXPPR1AP5141A1QTVY2TSK5NCC2K,SP3H8CQHXHY05EXPPR1AP5141A1QTVY2TSK5NCC2K,debt_stored,shares,38600113371
9049309,granite-usdcx,SP3N0S0YMTV25T3CPTN8086GNVD3DD27WH1A9WE5S,SP3N0S0YMTV25T3CPTN8086GNVD3DD27WH1A9WE5S,collateral,sBTC,2000
9049309,granite-usdcx,SP3N0TGQW4GDYHCFZ6K7CS6W3JV0E5P7ZFJ99CRNV,SP3N0TGQW4GDYHCFZ6K7CS6W3JV0E5P7ZFJ99CRNV,collateral,sBTC,869999
