block_height,market,check,kind,asset,decimals,indexed,onchain,delta,delta_pct,rule,status
9049309,zest-v1,debt:stSTX,debt,stSTX,6,190018956626,190018956626,0,0,tolerance,OK
9049309,zest-v1,debt:aeUSDC,debt,aeUSDC,6,36122163765,36122163765,0,0,tolerance,OK
9049309,zest-v1,debt:STX,debt,STX,6,104906767629,104906767629,0,0,tolerance,OK
9049309,zest-v1,debt:USDH,debt,USDH,8,1288042373142,1288042373142,0,0,tolerance,OK
9049309,zest-v1,debt:sUSDT,debt,sUSDT,8,119015,119015,0,0,tolerance,OK
9049309,zest-v1,debt:sBTC,debt,sBTC,8,430376,430376,0,0,tolerance,OK
9049309,zest-v1,debt:ALEX,debt,ALEX,8,1000,1000,0,0,tolerance,OK
9049309,zest-v1,collateral:stSTX,collateral,stSTX,6,2648117771238,2648117771238,0,0,tolerance,OK
9049309,zest-v1,collateral:aeUSDC,collateral,aeUSDC,6,60487144867,60487144867,0,0,tolerance,OK
9049309,zest-v1,collateral:STX,collateral,STX,6,501055518558,501055518558,0,0,tolerance,OK
9049309,zest-v1,collateral:DIKO,collateral,DIKO,6,718523398100,718523398100,0,0,tolerance,OK
9049309,zest-v1,collateral:USDH,collateral,USDH,8,2958157454548,2958157454548,0,0,tolerance,OK
9049309,zest-v1,collateral:sUSDT,collateral,sUSDT,8,119225645238,119225645238,0,0,tolerance,OK
9049309,zest-v1,collateral:USDA,collateral,USDA,6,25185483883,25185483883,0,0,tolerance,OK
9049309,zest-v1,collateral:sBTC,collateral,sBTC,8,1773644994,1773644994,0,0,tolerance,OK
9049309,zest-v1,collateral:ALEX,collateral,ALEX,8,26775013950920,26775013950920,0,0,tolerance,OK
9049309,zest-v1,collateral:stSTXbtc,collateral,stSTXbtc,6,197939524582,197939524582,0,0,tolerance,OK
