block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,zest-v2,SP3V34ZZ9XHR1GA9Y79ANT19EVFNN26MQY3A1JGT0,SP3V34ZZ9XHR1GA9Y79ANT19EVFNN26MQY3A1JGT0,158570755,0,,,,n/a,false
9049309,zest-v2,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,SP1T8R1GD27431K2C8C6NJCD5HDP84D33D52TTMQC,100184434,32042870,1.406959,1.388858,1.425443,no,true
9049309,zest-v2,SP1A91KESHC6E2D4M18ZSGC6120TZBTT8D6RCD0CE,SP1A91KESHC6E2D4M18ZSGC6120TZBTT8D6RCD0CE,7930100,0,,,,n/a,false
9049309,zest-v2,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,SP1E0FWX3Q5PRZRHW9A205YBXMRX7YYS14CDN8RA7,26027158014477,16120467502310,1.130179,1.120596,1.139809,no,false
9049309,zest-v2,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,SP26E434SDGRSA9QF5D65A3WZ29Y0MXD9AMXFJYDC,70135577095184,15130633705840,2.781202,2.745136,2.817448,no,false
9049309,zest-v2,SP39H80JHGD2QXVFSM1VN3NEVKHVXF5CV9B0A9RQH,SP39H80JHGD2QXVFSM1VN3NEVKHVXF5CV9B0A9RQH,1002223819510351,0,,,,n/a,false
9049309,zest-v2,SP1RBRTZVFADS0K26SHWFWDA2G9QJFNE0HXQ4NX8P,SP1RBRTZVFADS0K26SHWFWDA2G9QJFNE0HXQ4NX8P,15864226,0,,,,n/a,false
9049309,zest-v2,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,SP1BQZ7QBWMRCYYFB51F5SGH2NJJ33R3BJQA71AQ0,180825513,25207541,5.021428,4.978853,5.064217,no,true
9049309,zest-v2,SP3D0ZDN3E8M33MY88REE1NQQR7H6ZQWEYKQ3JP1V,SP3D0ZDN3E8M33MY88REE1NQQR7H6ZQWEYKQ3JP1V,317292041873,69938324373,2.722044,2.686746,2.75752,no,false
9049309,zest-v2,SP306XMK02QDR1W13ENEYCF5TMDAKHB2GX3F2KGK3,SP306XMK02QDR1W13ENEYCF5TMDAKHB2GX3F2KGK3,71688104000000,6334970860610,6.789749,6.701702,6.878237,no,false
9049309,zest-v2,SP2QPKZPPEBZ7ZB7E558TTW15X75S9VDHC09M9SJF,SP2QPKZPPEBZ7ZB7E558TTW15X75S9VDHC09M9SJF,742871617643,212166163806,2.450957,2.430176,2.471842,no,false
9049309,zest-v2,SP16ZK94PMJRK01A74CET3HYPT59SAVXYFJMD0GKN,SP16ZK94PMJRK01A74CET3HYPT59SAVXYFJMD0GKN,75336061,0,,,,n/a,false
9049309,zest-v2,SPN3AV2KQ8HYFHGKC34SGVSS9TNMJXG56GXRSR70,SPN3AV2KQ8HYFHGKC34SGVSS9TNMJXG56GXRSR70,427997610076,126897465663,2.360948,2.34093,2.381066,no,false
9049309,zest-v2,SP203AZJZHBTCJ3D9HD1FH5G0PFDPWP1NJJSXS1T5,SP203AZJZHBTCJ3D9HD1FH5G0PFDPWP1NJJSXS1T5,96347882,0,,,,n/a,false
9049309,zest-v2,SP1CM0AWD5FCT7RMNCQJ29XTX7ANXH4HMDDY3QW9H,SP1CM0AWD5FCT7RMNCQJ29XTX7ANXH4HMDDY3QW9H,4371465915049,1625722262660,1.613363,1.592441,1.634389,no,false
9049309,zest-v2,SP31SXJHBV3YN94HQX7NR7TV9RBM8NSNYAGXG9R6X,SP31SXJHBV3YN94HQX7NR7TV9RBM8NSNYAGXG9R6X,118834891935,45115732745,1.843801,1.829608,1.858042,no,false
9049309,zest-v2,SP19XT66MMJ80ZXYT371T364PP910E0KA5GE9X4T4,SP19XT66MMJ80ZXYT371T364PP910E0KA5GE9X4T4,7922261832720,4561721756897,1.215678,1.20537,1.226037,no,false
9049309,zest-v2,SP39WR7DRCPK9AHRFC0YF96S43QMZ0S8XWQKTJP0X,SP39WR7DRCPK9AHRFC0YF96S43QMZ0S8XWQKTJP0X,34178175026,0,,,,n/a,false
9049309,zest-v2,SP1ZQW7QTJ7YDZ64RZ3C9Z8B887QJ8Q7BGKEV691S,SP1ZQW7QTJ7YDZ64RZ3C9Z8B887QJ8Q7BGKEV691S,205626865011,0,,,,n/a,false
9049309,zest-v2,SP1AZMDNVMPR13VYKVEXHFGCXP9JETA2W8G5YTPAQ,SP1AZMDNVMPR13VYKVEXHFGCXP9JETA2W8G5YTPAQ,634521300691,132863638614,2.14908,2.113989,2.184916,no,false
