block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,arkadiko-v2,SP2QE3SKKZAY68Z3KN4TTJN41BVE3B5QVJMNKJAZB|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2QE3SKKZAY68Z3KN4TTJN41BVE3B5QVJMNKJAZB,9393258493,2600492600,2.580071,2.580071,2.580071,no,false
9049309,arkadiko-v2,SP2Y738VAEMGCMJ8BR4Q94A74EY7DHQEEG31KH078|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2Y738VAEMGCMJ8BR4Q94A74EY7DHQEEG31KH078,6945901915,1843444500,2.691286,2.691286,2.691286,no,false
9049309,arkadiko-v2,SPCJ7D2GMHQ5N9ZYSBT35AAH3TTTTXEN2CEP1QCJ|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SPCJ7D2GMHQ5N9ZYSBT35AAH3TTTTXEN2CEP1QCJ,2603928115,660517100,2.815857,2.815857,2.815857,no,true
9049309,arkadiko-v2,SP3WSZQSHV99NJ7GX1G908ZFME42V86J6FAY5WXVE|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3WSZQSHV99NJ7GX1G908ZFME42V86J6FAY5WXVE,10709403385,2647916400,2.888857,2.888857,2.888857,no,false
9049309,arkadiko-v2,SP7SPH7XXSS6HBFAFQ1W4HRHB70GD3XH8HM1FH0A|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP7SPH7XXSS6HBFAFQ1W4HRHB70GD3XH8HM1FH0A,193753123237,47842074500,2.892714,2.892714,2.892714,no,false
9049309,arkadiko-v2,SP3V9TP8NJ704HQPE7M419B0G3ZMGBK53F77E1V27|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3V9TP8NJ704HQPE7M419B0G3ZMGBK53F77E1V27,28985295491,6959931300,2.974643,2.974643,2.974643,no,false
9049309,arkadiko-v2,SP103BZSXCX2YF8HXMN8DDP5Z46DN4A0HPRDYJXDD|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP103BZSXCX2YF8HXMN8DDP5Z46DN4A0HPRDYJXDD,336484800000,62540266500,3.843,3.843,3.843,no,false
9049309,arkadiko-v2,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG,897565464,177039900,3.621286,3.621286,3.621286,no,true
9049309,arkadiko-v2,SP3MA7SZSW1T0CR9Y3WEX4BJZNESCXMA493RF4H0K|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3MA7SZSW1T0CR9Y3WEX4BJZNESCXMA493RF4H0K,558377175405,95292907400,4.185357,4.185357,4.185357,no,false
9049309,arkadiko-v2,SP2387SVTEFW59A7BWJE84V9Y6M9SYEBDPFAQ1XN1|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2387SVTEFW59A7BWJE84V9Y6M9SYEBDPFAQ1XN1,6728063151,1289250800,3.7275,3.7275,3.7275,no,false
9049309,arkadiko-v2,SP229CVAF2X6SR5GYKEFYF0B84W66S9423AWABJFD|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP229CVAF2X6SR5GYKEFYF0B84W66S9423AWABJFD,790526403078,105620177300,5.346143,5.346143,5.346143,no,false
9049309,arkadiko-v2,SP1AX2ND6NE41YNN9C0SDJV2N11X7684RBKQWB9XD|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP1AX2ND6NE41YNN9C0SDJV2N11X7684RBKQWB9XD,820711253347,100534424400,5.831,5.831,5.831,no,false
9049309,arkadiko-v2,SP3EVQ0GWNJAYTXMNKMDX6EWP06TXTX3RSE0RTNS4|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3EVQ0GWNJAYTXMNKMDX6EWP06TXTX3RSE0RTNS4,6695815158,894678600,5.345714,5.345714,5.345714,no,true
9049309,arkadiko-v2,SP1W5CWFJWXGHHM4ZEAJWFQ6D9V3N5GB9VQEDYSED|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP1W5CWFJWXGHHM4ZEAJWFQ6D9V3N5GB9VQEDYSED,26039281226,3117501000,5.966143,5.966143,5.966143,no,false
9049309,arkadiko-v2,SP2M51D1DTWR3ARWSD3TDKYN3W5T7FE1QN9YZV3G6|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2M51D1DTWR3ARWSD3TDKYN3W5T7FE1QN9YZV3G6,1115969186,124659200,6.394357,6.394357,6.394357,no,true
9049309,arkadiko-v2,SP39ZYHN0GRAA9FBE43QGQ2HFS3PRWZGE1JCQRWYH|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP39ZYHN0GRAA9FBE43QGQ2HFS3PRWZGE1JCQRWYH,4597931469,501212000,6.552571,6.552571,6.552571,no,true
9049309,arkadiko-v2,SP3CSPJCN6T4Z7BX1EWW1JGX90KXP7NF6MN9YZGJ3|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3CSPJCN6T4Z7BX1EWW1JGX90KXP7NF6MN9YZGJ3,7135916115,709346000,7.185571,7.185571,7.185571,no,true
9049309,arkadiko-v2,SPQH1F2WVJN92B0JK8Q036E9HV3NT30VX8S2EVQM|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SPQH1F2WVJN92B0JK8Q036E9HV3NT30VX8S2EVQM,148795859,11517400,9.228,9.228,9.228,no,true
9049309,arkadiko-v2,SP2KQN92ME0P6ZNMDZC8JGPTWD3V120TQYPKKV12H|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP2KQN92ME0P6ZNMDZC8JGPTWD3V120TQYPKKV12H,152237014,11517400,9.441429,9.441429,9.441429,no,true
9049309,arkadiko-v2,SP3W83KG17KJZZXPDZQDTRQKQRGHNFZN410R9P02E|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3W83KG17KJZZXPDZQDTRQKQRGHNFZN410R9P02E,185994852,11517400,11.535,11.535,11.535,no,true
9049309,arkadiko-v2,SP97DC4P1XFZMAG3B2EPVD8R1JPK9DES691JAM97|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP97DC4P1XFZMAG3B2EPVD8R1JPK9DES691JAM97,185994852,11517400,11.535,11.535,11.535,no,true
9049309,arkadiko-v2,SP3WT85B2PJWBQG70B8NTCA9DNZ6TS07YP5497WWW|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP3WT85B2PJWBQG70B8NTCA9DNZ6TS07YP5497WWW,188750064,11617700,11.604786,11.604786,11.604786,no,true
9049309,arkadiko-v2,SP1Z84TMVM83HXE5VFHTXF27JPF73HPWT618RR26Y|SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,SP1Z84TMVM83HXE5VFHTXF27JPF73HPWT618RR26Y,371989704,22820400,11.643357,11.643357,11.643357,no,true
