block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,granite-aeusdc,SP3RJ4B1HEN31XDQF1ZDY33WC2PWKFCGGH7PR7PQR,SP3RJ4B1HEN31XDQF1ZDY33WC2PWKFCGGH7PR7PQR,8393200,64000,85.242188,84.46729,85.888889,no,true
9049309,granite-aeusdc,SP3SP4SAC752RVFMZ7D7KTVM3875WQJP8CHT7J2DB,SP3SP4SAC752RVFMZ7D7KTVM3875WQJP8CHT7J2DB,4280500,500,5564.6,4609.333333,5598,no,true
9049309,granite-aeusdc,SP3TB3AJ0XMZ9S6CGY2CQ6R06H1Z6DJQ1SH15ZP2H,SP3TB3AJ0XMZ9S6CGY2CQ6R06H1Z6DJQ1SH15ZP2H,368297300,112735600,2.123492,2.105486,2.141587,no,true
9049309,granite-aeusdc,SP3TQ70DVG7P8BR98TC5HK1ZZDHZ9N7679GP1K12,SP3TQ70DVG7P8BR98TC5HK1ZZDHZ9N7679GP1K12,2434000,177100,8.933371,8.85473,9.006791,no,true
9049309,granite-aeusdc,SP3V4WE14W7A9Q7ZEHGX8T7T17765XE8PRDQNADNP,SP3V4WE14W7A9Q7ZEHGX8T7T17765XE8PRDQNADNP,2959975600,0,,,,n/a,false
9049309,granite-aeusdc,SP3V6F74NJKS0V7B1TK5ZVFQYBZYTAQGVX4X42NDX,SP3V6F74NJKS0V7B1TK5ZVFQYBZYTAQGVX4X42NDX,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP3V8RSTAG4AVNX913MVZG97GS1B3849W4H2G5A0D,SP3V8RSTAG4AVNX913MVZG97GS1B3849W4H2G5A0D,3905982700,0,,,,n/a,false
9049309,granite-aeusdc,SP3VCBM1ZH8QRKT38YH4H4K1N3JQ8G2RCH5SGX3BY,SP3VCBM1ZH8QRKT38YH4H4K1N3JQ8G2RCH5SGX3BY,2853700,240900,7.699875,7.634369,7.765293,no,true
9049309,granite-aeusdc,SP3VMANHCB3G8E00DREXD406B3SDWKB4R9GAFA6HA,SP3VMANHCB3G8E00DREXD406B3SDWKB4R9GAFA6HA,8393200,6670700,0.81783,0.810898,0.8248,yes,true
9049309,granite-aeusdc,SP3WR82RTMQZNN1YN8JR7C34KEPK44RHEEQYYRAXB,SP3WR82RTMQZNN1YN8JR7C34KEPK44RHEEQYYRAXB,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP3X1PPX49N1MHFSHQJASZHNS4K6MDA4MKTGMJ08V,SP3X1PPX49N1MHFSHQJASZHNS4K6MDA4MKTGMJ08V,403212962900,184041662200,1.424071,1.411997,1.436206,no,false
9049309,granite-aeusdc,SP3XR3MWG2KFK7PYG5JVQ515B430VFFER4ZC9T8QD,SP3XR3MWG2KFK7PYG5JVQ515B430VFFER4ZC9T8QD,5455600,200,17730.5,11749.333333,17836.5,no,true
9049309,granite-aeusdc,SP3Y60X9413Y2ARD5803JY5XX03XSYJ16C89J6R5W,SP3Y60X9413Y2ARD5803JY5XX03XSYJ16C89J6R5W,6043100,200,19640,13014.666667,19758,no,true
9049309,granite-aeusdc,SP3YCV8P0N596ERA2KY6EZV6RRK85B0VTBXRWZRHR,SP3YCV8P0N596ERA2KY6EZV6RRK85B0VTBXRWZRHR,7889600,700,7326,6371.75,7370,no,true
9049309,granite-aeusdc,SP3YVVCXEZGGXZ26J099J5BA0J5ZN03YC6WPDRJE8,SP3YVVCXEZGGXZ26J099J5BA0J5ZN03YC6WPDRJE8,3776900,200,12274.5,8134,12348.5,no,true
9049309,granite-aeusdc,SP3Z0M1RRAWD5KW95R2PAJXWJSN9TVH2PSG9C559X,SP3Z0M1RRAWD5KW95R2PAJXWJSN9TVH2PSG9C559X,8393200,1000,5455.5,4929.818182,5488.3,no,true
9049309,granite-aeusdc,SP3ZEH9717B5EE23FBTQGQAS0JVXFQVP57Z9PGQ8Q,SP3ZEH9717B5EE23FBTQGQAS0JVXFQVP57Z9PGQ8Q,8393200,400,13638.75,10845.6,13720.75,no,true
9049309,granite-aeusdc,SP3ZQS9P8Q3V4V1D8GN21VA2YXJXW0VDPN1FH33QT,SP3ZQS9P8Q3V4V1D8GN21VA2YXJXW0VDPN1FH33QT,8393200,200,27277.5,18076,27441.5,no,true
9049309,granite-aeusdc,SP3ZRRPPW4PXA8M7D69XEC6VSDDAYQCBABGP7WHA7,SP3ZRRPPW4PXA8M7D69XEC6VSDDAYQCBABGP7WHA7,5444303900,2764434000,1.280116,1.269263,1.291025,no,false
9049309,granite-aeusdc,SP47MER78CX86JKVJKCBYCQ3QJ9DTX46E35ZEZPD,SP47MER78CX86JKVJKCBYCQ3QJ9DTX46E35ZEZPD,8393200,384900,14.173811,14.055988,14.296171,no,true
9049309,granite-aeusdc,SP4X4WBQ5EM557GZCYRBG6W938QY87AGERABVGGG,SP4X4WBQ5EM557GZCYRBG6W938QY87AGERABVGGG,3189400,2200,942.318182,895.913043,947.954545,no,true
9049309,granite-aeusdc,SP5625A8XHJFGK0VWXK1CR0NGQTZSQ1D87BYPD9Q,SP5625A8XHJFGK0VWXK1CR0NGQTZSQ1D87BYPD9Q,1007100,167500,3.90806,3.875521,3.940754,no,true
9049309,granite-aeusdc,SP57XQ6K1WRC9SRYE58Y6Y88T0TPPRPSR3CSYN2H,SP57XQ6K1WRC9SRYE58Y6Y88T0TPPRPSR3CSYN2H,2350100,700,2182.142857,1898,2195.285714,no,true
