block_height,market,position,account,side,asset,amount_base_units
9049309,granite-aeusdc,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,collateral,sBTC,11700
9049309,granite-aeusdc,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,debt,token-aeusdc,5382880
9049309,granite-aeusdc,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,debt_stored,shares,3484551
9049309,granite-aeusdc,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,collateral,sBTC,54
9049309,granite-aeusdc,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,debt,token-aeusdc,4
9049309,granite-aeusdc,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,debt_stored,shares,2
9049309,granite-aeusdc,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,collateral,sBTC,103
9049309,granite-aeusdc,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,debt,token-aeusdc,3433
9049309,granite-aeusdc,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,debt_stored,shares,2222
9049309,granite-aeusdc,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,collateral,sBTC,49
9049309,granite-aeusdc,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,debt,token-aeusdc,2
9049309,granite-aeusdc,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,SP1376739EMZBE3TT22MGA3JQ18GH1TM88CK86VMV,debt_stored,shares,1
9049309,granite-aeusdc,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,collateral,sBTC,20
9049309,granite-aeusdc,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,debt,token-aeusdc,1683
9049309,granite-aeusdc,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,SP144VCG1E9ZJYYHB57WPF0FCBH234J847KYCH9YP,debt_stored,shares,1089
9049309,granite-aeusdc,SP14EBQ926P4APDDMT6VP1F0X867F7Z2TDW5CV69A,SP14EBQ926P4APDDMT6VP1F0X867F7Z2TDW5CV69A,collateral,sBTC,2
9049309,granite-aeusdc,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,SP14JPKZT1AGJWXHTVBPMVZQ11T7PGT0205DACDTB,collateral,sBTC,100
