block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9049309,granite-usdcx,SM275N04VCDVG27KQSESEKD6X06PS3HH636Z2N1GW,SM275N04VCDVG27KQSESEKD6X06PS3HH636Z2N1GW,452481900,0,,,,n/a,false
9049309,granite-usdcx,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,SP10GK6MG2GM7BCVYV7XBHK1JVJDHFDMNBENNBRC3,19988254283300,9554106300600,1.359872,1.348342,1.37146,no,false
9049309,granite-usdcx,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,SP14YFFWP15FJCYRFY6Z0JN71QMMXZYS4CY25HVR2,24256591919300,11676241548900,1.35033,1.338881,1.361837,no,false
9049309,granite-usdcx,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,SP17MRV60MP61BRP9QJC92GHV1PQYDCE5KH99AEHQ,15765513081000,8111430154100,1.263351,1.252639,1.274116,no,false
9049309,granite-usdcx,SP18QG8A8943KY9S15M08AMAWWF58W9X1M90BRCSJ,SP18QG8A8943KY9S15M08AMAWWF58W9X1M90BRCSJ,83900,0,,,,n/a,false
9049309,granite-usdcx,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,SP1BJGDG8MSM64DMH33A0F1NB0DT40YGBPSW00NES,8393284400,404102100,13.500635,13.386167,13.615679,no,true
9049309,granite-usdcx,SP1BJK54NVVEKTCTE1RDGGXKVZZ0XJK8EHCM15AT7,SP1BJK54NVVEKTCTE1RDGGXKVZZ0XJK8EHCM15AT7,167026300,59691800,1.818793,1.803374,1.834292,no,true
9049309,granite-usdcx,SP1FWW464A8YVYBHYSDQSR1QVXTM7PR361STNT68C,SP1FWW464A8YVYBHYSDQSR1QVXTM7PR361STNT68C,8393200,51000,106.970588,105.914063,107.825147,no,true
9049309,granite-usdcx,SP1H68DAV0HZZ2NJXD38DK12EXXSR7A39J5HT19N1,SP1H68DAV0HZZ2NJXD38DK12EXXSR7A39J5HT19N1,1258992660100,258990128600,3.159755,3.132964,3.18668,no,false
9049309,granite-usdcx,SP1HZ88S59X3SJBTG14E9KYH8YVC885BXMP5VHYEZ,SP1HZ88S59X3SJBTG14E9KYH8YVC885BXMP5VHYEZ,40969131953100,16998180780600,1.566634,1.553351,1.579984,no,false
9049309,granite-usdcx,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,SP1JVF2VV3T30JQZ4D4FW9W4K819RSQMDYZDQRNS1,335700,200,1091,723,1097.5,no,true
9049309,granite-usdcx,SP1S2ZTV7QVAYBRJVB85FHXE7P8PZZHXVCERMEHN9,SP1S2ZTV7QVAYBRJVB85FHXE7P8PZZHXVCERMEHN9,8393284400,0,,,,n/a,false
