block_height,market,check,kind,asset,decimals,indexed,onchain,delta,delta_pct,rule,status
9053676,granite-usdcx,debt:shares,debt,debt-shares,,1155543538591,1155543538591,0,0,tolerance,OK
9053676,granite-usdcx,collateral:sBTC,collateral,sBTC,8,3617015489,3617015489,0,0,tolerance,OK
