block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9053676,arkadiko-v2,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR,3106562830000,1800515754500,1.232357,1.232357,1.232357,no,false
9053676,arkadiko-v2,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP309MM3CDDHR37DCQ1R704JKR4CQYEQ1EATPH8T5,423733800,124502600,2.431,2.431,2.431,no,true
9053676,arkadiko-v2,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPKCN7FXPWGKN6NSBHYA2EJG8PHF451B5BMRXGP1,4546500000,1204963100,2.695071,2.695071,2.695071,no,false
9053676,arkadiko-v2,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP8R8AT0HS12MRKHMZ22J05DMTBDHRW9XJBKE5DG,407318661,85828100,3.389786,3.389786,3.389786,no,true
9053676,arkadiko-v2,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP272HMYC5PG4R60NQKCX96Q682NDKF1VDZ7P5RSQ,30310000,5548400,3.902,3.902,3.902,no,true
9053676,arkadiko-v2,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP248HH800501WYSG7Z2SS1ZWHQW1GGH85ME34NT2,3478403000,464434800,5.349643,5.349643,5.349643,no,true
9053676,arkadiko-v2,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS,117896443,14167600,5.943929,5.943929,5.943929,no,true
9053676,arkadiko-v2,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG,60620000,5120800,8.455643,8.455643,8.455643,no,true
9053676,arkadiko-v2,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X,15155000,1184100,9.141929,9.141929,9.141929,no,true
9053676,arkadiko-v2,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF,31222694,2387300,9.341857,9.341857,9.341857,no,true
9053676,arkadiko-v2,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2FSM29506QZYKJMFGNTAF2V6Q58K2Y61DDT7Y0F,129831975,6829800,13.578286,13.578286,13.578286,no,true
9053676,arkadiko-v2,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPYGMT67CFCEBJJ9CCG0K5WDEK45ED6R17PT8P16,272493446,13380300,14.546571,14.546571,14.546571,no,true
9053676,arkadiko-v2,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JPKH64TWH1EW9K88A16FJRRXRNMY2J9JSAF086,30310000,1151800,18.796643,18.796643,18.796643,no,true
9053676,arkadiko-v2,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPE39HZGRQ45ZSDJXY5JEG483VC8B8J0DEEDDTT5,30310000,1151800,18.796643,18.796643,18.796643,no,true
9053676,arkadiko-v2,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP13AC1JF3RVH4PMB3CDM8Y6AK9K24XRY20XYCRZT,1554916184,58535300,18.974071,18.974071,18.974071,no,true
9053676,arkadiko-v2,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3H6Z8KZ2EHTCNW5B43K3RSXCYWTPNKPTX4VJJZE,54581611,1168200,33.373429,33.373429,33.373429,no,true
9053676,arkadiko-v2,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP3MSQHD6CD47T80DQTHN964ZVMMBX12VM6SC8RDT,3031000000,62332100,34.733286,34.733286,34.733286,no,true
9053676,arkadiko-v2,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19R89P6EQ3XE8B2KC4K5M1FE909XWCZCYEN18P6,164335182,2280000,51.483429,51.483429,51.483429,no,true
9053676,arkadiko-v2,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPK2780EBGCJG5BQKS62JG0SBPNBYNMYYF5XYFPE,83451825,1152200,51.734429,51.734429,51.734429,no,true
9053676,arkadiko-v2,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP1JQ6KP52NFT2RAF0JN348G8XD142GZ0PN7Q9ETK,148627449,1233000,86.100929,86.100929,86.100929,no,true
9053676,arkadiko-v2,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SPF2VNHRHWJR3ABJRGKS21CH6KMR50NGADH29E5A,1010153615,6053900,119.185643,119.185643,119.185643,no,true
9053676,arkadiko-v2,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP2N6WDD2M9DNC6J5D566GPC2QD8MRQRDBG6NH6F,303100000,1151800,187.966643,187.966643,187.966643,no,true
