block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9053676,granite-aeusdc,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,SP03Y0DSX1N4DCHKS82RGVGEQBB1ZZ74XZGN0YJ2,754000,42500,11.531765,11.407494,11.627358,no,true
9053676,granite-aeusdc,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,SP0E61P7VQE3YKGXM0G17WNXS5A0J94TRFVM7VV1,7372400,1300,3686.153846,3402.357143,3708.307692,no,true
9053676,granite-aeusdc,SP10MG83XFMTMSKR7237D817D9DGWXBWBCNB3W2BK,SP10MG83XFMTMSKR7237D817D9DGWXBWBCNB3W2BK,16955766500,0,,,,n/a,false
9053676,granite-aeusdc,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,2345700,56900,26.796134,26.542907,27.003521,no,true
9053676,granite-aeusdc,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,SP10PPJAWYJHNK1DJYP54NNWBJHNRBJW25J8WEJXN,8294000,28400,189.827465,188.024561,190.964789,no,true
9053676,granite-aeusdc,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,SP116AWAZF9EF5GR7Q524F2RNJBDWB4TD6AAG5DXX,8377800,400,13613.75,10825.6,13695.5,no,true
9053676,granite-aeusdc,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,SP116C2RS4BZWWF7D6RF2HJ0QN7TW53B4WM9FEPY9,4021300,200,13069,8660.333333,13147.5,no,true
9053676,granite-aeusdc,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,8377800,200,27227.5,18042.666667,27391,no,true
9053676,granite-aeusdc,SP11EBWRDRHWHWBM8XMNTD45VM5Z41XM29TBV7ECD,SP11EBWRDRHWHWBM8XMNTD45VM5Z41XM29TBV7ECD,73054500,0,,,,n/a,false
9053676,granite-aeusdc,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,SP11F9RDXFPP8XCQ4V1QSE1E0CM3X2DQVEKB6WXT8,8377800,56000,97.241071,96.313167,98,no,true
9053676,granite-aeusdc,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,SP11TSY6Q0ER893HNKZ44JZV78YTW1PNG2YCRHVQC,980203800,539600500,1.180748,1.170737,1.19081,no,true
9053676,granite-aeusdc,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,SP122PJZQPAZA4X9QWGV1EVNEFRFKE8MPKC0SZ58B,4524000,400,7351.5,5845.8,7395.5,no,true
9053676,granite-aeusdc,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,SP134GFFMQS2BVHVGYHYRTT7APV68Z2T27YYRZ78,8629100,344200,16.295468,16.155317,16.436062,no,true
