block_height,market,position,account,side,asset,amount_base_units
9053676,zest-v1,SP1VAKZQ2934G25VMRQEFE1065XEARPT3C2KXCWMW,SP1VAKZQ2934G25VMRQEFE1065XEARPT3C2KXCWMW,debt_stored,stSTX,30
9053676,zest-v1,SP1VCW4ZJWQS58DWR0SCM08ZNENQHD4XD0Z0MPGX5,SP1VCW4ZJWQS58DWR0SCM08ZNENQHD4XD0Z0MPGX5,collateral,stSTX,209272083
9053676,zest-v1,SP1VCW4ZJWQS58DWR0SCM08ZNENQHD4XD0Z0MPGX5,SP1VCW4ZJWQS58DWR0SCM08ZNENQHD4XD0Z0MPGX5,debt,stSTX,62874248
9053676,zest-v1,SP1VCW4ZJWQS58DWR0SCM08ZNENQHD4XD0Z0MPGX5,SP1VCW4ZJWQS58DWR0SCM08ZNENQHD4XD0Z0MPGX5,debt_stored,stSTX,60000000
9053676,zest-v1,SP1VFDQK6N41TJN2433SYD6XJ2M8DVT65ZQW5YQD7,SP1VFDQK6N41TJN2433SYD6XJ2M8DVT65ZQW5YQD7,collateral,stSTX,4774655
9053676,zest-v1,SP1VFDQK6N41TJN2433SYD6XJ2M8DVT65ZQW5YQD7,SP1VFDQK6N41TJN2433SYD6XJ2M8DVT65ZQW5YQD7,debt,USDH,112590979
9053676,zest-v1,SP1VFDQK6N41TJN2433SYD6XJ2M8DVT65ZQW5YQD7,SP1VFDQK6N41TJN2433SYD6XJ2M8DVT65ZQW5YQD7,debt_stored,USDH,105284625
9053676,zest-v1,SP1VFQFVF6QKEVDSRVQA3HTBPZBRPV2ZJVZYETASF,SP1VFQFVF6QKEVDSRVQA3HTBPZBRPV2ZJVZYETASF,collateral,stSTX,110870971
9053676,zest-v1,SP1VFQFVF6QKEVDSRVQA3HTBPZBRPV2ZJVZYETASF,SP1VFQFVF6QKEVDSRVQA3HTBPZBRPV2ZJVZYETASF,debt,stSTX,152
9053676,zest-v1,SP1VFQFVF6QKEVDSRVQA3HTBPZBRPV2ZJVZYETASF,SP1VFQFVF6QKEVDSRVQA3HTBPZBRPV2ZJVZYETASF,debt_stored,stSTX,145
9053676,zest-v1,SP1VFTXPFH4S8T99NHWQBJ8BECKZFQ3YFXRN4NJY8,SP1VFTXPFH4S8T99NHWQBJ8BECKZFQ3YFXRN4NJY8,collateral,stSTX,5008895
9053676,zest-v1,SP1VFTXPFH4S8T99NHWQBJ8BECKZFQ3YFXRN4NJY8,SP1VFTXPFH4S8T99NHWQBJ8BECKZFQ3YFXRN4NJY8,debt,STX,1165880
9053676,zest-v1,SP1VFTXPFH4S8T99NHWQBJ8BECKZFQ3YFXRN4NJY8,SP1VFTXPFH4S8T99NHWQBJ8BECKZFQ3YFXRN4NJY8,debt_stored,STX,1000000
9053676,zest-v1,SP1VNCNJHTEFRN1D2NN4XZ78T7TKZJTRT2MNRBW2Z,SP1VNCNJHTEFRN1D2NN4XZ78T7TKZJTRT2MNRBW2Z,collateral,stSTX,206902100
9053676,zest-v1,SP1VNCNJHTEFRN1D2NN4XZ78T7TKZJTRT2MNRBW2Z,SP1VNCNJHTEFRN1D2NN4XZ78T7TKZJTRT2MNRBW2Z,debt,stSTX,92277705
9053676,zest-v1,SP1VNCNJHTEFRN1D2NN4XZ78T7TKZJTRT2MNRBW2Z,SP1VNCNJHTEFRN1D2NN4XZ78T7TKZJTRT2MNRBW2Z,debt_stored,stSTX,88000180
9053676,zest-v1,SP1W35PY711H9N28DA00M3GDDEAKNDWR6M5FYC8YA,SP1W35PY711H9N28DA00M3GDDEAKNDWR6M5FYC8YA,collateral,stSTX,498
9053676,zest-v1,SP1W35PY711H9N28DA00M3GDDEAKNDWR6M5FYC8YA,SP1W35PY711H9N28DA00M3GDDEAKNDWR6M5FYC8YA,debt,STX,5
9053676,zest-v1,SP1W35PY711H9N28DA00M3GDDEAKNDWR6M5FYC8YA,SP1W35PY711H9N28DA00M3GDDEAKNDWR6M5FYC8YA,debt_stored,STX,4
9053676,zest-v1,SP1W5SQ4WCQ7VCSY3Y5NQAC328K63YFB5YYRBGQJ2,SP1W5SQ4WCQ7VCSY3Y5NQAC328K63YFB5YYRBGQJ2,collateral,stSTX,966
9053676,zest-v1,SP1W5SQ4WCQ7VCSY3Y5NQAC328K63YFB5YYRBGQJ2,SP1W5SQ4WCQ7VCSY3Y5NQAC328K63YFB5YYRBGQJ2,debt,stSTX,9
9053676,zest-v1,SP1W5SQ4WCQ7VCSY3Y5NQAC328K63YFB5YYRBGQJ2,SP1W5SQ4WCQ7VCSY3Y5NQAC328K63YFB5YYRBGQJ2,debt_stored,stSTX,8
9053676,zest-v1,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,collateral,sBTC,118514
9053676,zest-v1,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,collateral,stSTX,30047101
9053676,zest-v1,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,collateral,stSTXbtc,941119016
9053676,zest-v1,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,debt,stSTX,688798884
9053676,zest-v1,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,SP1W5YQQ375XGC1Q14D8GZ22MJZMR6QYG9YAYSBC,debt_stored,stSTX,662531810
9053676,zest-v1,SP1W8C25TZCXDQTAR7MZQPSNF8C73274DCNT2NWJZ,SP1W8C25TZCXDQTAR7MZQPSNF8C73274DCNT2NWJZ,collateral,STX,5738541
9053676,zest-v1,SP1W8C25TZCXDQTAR7MZQPSNF8C73274DCNT2NWJZ,SP1W8C25TZCXDQTAR7MZQPSNF8C73274DCNT2NWJZ,debt,aeUSDC,755219
9053676,zest-v1,SP1W8C25TZCXDQTAR7MZQPSNF8C73274DCNT2NWJZ,SP1W8C25TZCXDQTAR7MZQPSNF8C73274DCNT2NWJZ,debt_stored,aeUSDC,733300
9053676,zest-v1,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,collateral,stSTX,200723105
9053676,zest-v1,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,SP1WHA75KA89M4PHGXXNZMEFA7SKSFHTRKPYN7K5V,debt,STX,11170140
