block_height,market,position,account,side,asset,amount_base_units
9053676,arkadiko-v2,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS,collateral,STX,3889688
9053676,arkadiko-v2,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS,debt,USDA,122999
9053676,arkadiko-v2,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP17Q8MQJNAZEQHNM00VFM3KGYBN9KPWZ7WDF0EFS,debt_stored,USDA,122999
9053676,arkadiko-v2,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG,collateral,STX,2000000
9053676,arkadiko-v2,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG,debt,USDA,44458
9053676,arkadiko-v2,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP49DG6YSCMNFT6S0KCC0A3XWXZEZVS7GMZ6ABTG,debt_stored,USDA,44458
9053676,arkadiko-v2,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X,collateral,STX,500000
9053676,arkadiko-v2,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X,debt,USDA,10282
9053676,arkadiko-v2,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP19ZA9EWV3DF2202Y9ZHTVF94G7NFS6ZEJNN6T8X,debt_stored,USDA,10282
9053676,arkadiko-v2,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF|SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.wstx-token,SP28PBTWEHR197J6BJHCDCKTVH6EFTRADJ5X7XFXF,collateral,STX,1030112
