block_height,market,position,account,coll_usd_e8,debt_usd_e8,health,health_low,health_high,liquidatable,dust
9053676,zest-v1,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,SM1SVFVT6HY7SHBNZ98FHBNJTC10HXAPBSGC8D687,74760029,98441559,0.455661,0.450877,0.460446,yes,true
9053676,zest-v1,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,SM9RZJ7MKS24RX0CXFQS9G6N9ES8T9HJ8KE0XCQW,6804950,16728500,0.244073,0.24151,0.246635,yes,true
9053676,zest-v1,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,SP03M23WXVQ4416T4AJKDHY64R311E9NZYF2QD8J,220812841,110284060,1.201331,1.201331,1.201331,no,true
9053676,zest-v1,SP04FZTETK9DH5VY5QKABMP1NYCYW40FYBSANGRS,SP04FZTETK9DH5VY5QKABMP1NYCYW40FYBSANGRS,27738481,32813200,0.507207,0.501881,0.512533,yes,true
9053676,zest-v1,SP0864CFTZ2DR8FDCA9PC03AACZRQYWF5A00Y8WZ,SP0864CFTZ2DR8FDCA9PC03AACZRQYWF5A00Y8WZ,3520158495,768685751,2.74767,2.74767,2.74767,no,true
9053676,zest-v1,SP1014BA8MW7DK2CEACDN77RNMSZ91WQG0JTEX8EB,SP1014BA8MW7DK2CEACDN77RNMSZ91WQG0JTEX8EB,502668,5293,47.484224,47.19932,47.769129,no,true
9053676,zest-v1,SP101B76X5WHDRSX57HPGYD6V9DD2VNXG4CHAT3Z1,SP101B76X5WHDRSX57HPGYD6V9DD2VNXG4CHAT3Z1,2092385410,475888000,2.638081,2.610381,2.665781,no,true
9053676,zest-v1,SP1087208W7B3ETPQ8CHP24K0PGNW7GC822SKEFHK,SP1087208W7B3ETPQ8CHP24K0PGNW7GC822SKEFHK,164627491,123167200,0.801971,0.79355,0.810391,yes,true
9053676,zest-v1,SP108PFJNH8ZF0YNH8RDERYTZZW5B135RFYBKCHA3,SP108PFJNH8ZF0YNH8RDERYTZZW5B135RFYBKCHA3,363570347,205109141,1.063542,1.063542,1.063542,no,true
9053676,zest-v1,SP10CRJ9KPTMXGSTJ39GDQYWA1PF09F9HF2RMDEXX,SP10CRJ9KPTMXGSTJ39GDQYWA1PF09F9HF2RMDEXX,6833,1207,3.396686,3.396686,3.398195,no,true
9053676,zest-v1,SP10D4ZCFY7K94W0AHBQPD1MV662FAY7CRWM40VM3,SP10D4ZCFY7K94W0AHBQPD1MV662FAY7CRWM40VM3,42553363,66743100,0.382542,0.378525,0.386558,yes,true
9053676,zest-v1,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,SP10P477N9V60C2NXEAW5Y8APPS64N0G43JNHRP47,251334,241028,0.521379,0.518251,0.524508,yes,true
9053676,zest-v1,SP10RE0D991JAEWTBNH952ANSCCY6H80VSEAFGMJH,SP10RE0D991JAEWTBNH952ANSCCY6H80VSEAFGMJH,5178169274,2696281124,1.152291,1.152291,1.152291,no,false
9053676,zest-v1,SP10VD0X3X2MBYZF52M25Q79QSM3JAB6HBADQRAVC,SP10VD0X3X2MBYZF52M25Q79QSM3JAB6HBADQRAVC,4619945988,762379700,3.635941,3.597764,3.674118,no,true
9053676,zest-v1,SP10X5JQ38APVZSCM8067MJ76987A5EC035Y8BWZK,SP10X5JQ38APVZSCM8067MJ76987A5EC035Y8BWZK,184010823,36083192,3.059776,3.059776,3.059776,no,true
9053676,zest-v1,SP10Y88DW28TRNTYJZXSXG95BSY57ARFAMGYHCRM9,SP10Y88DW28TRNTYJZXSXG95BSY57ARFAMGYHCRM9,62866674,183,206120.242623,206032.777297,206209.640884,no,true
9053676,zest-v1,SP111G0S42TY2TY3QSATH2KZMMRJYY00Q0WA1A1CR,SP111G0S42TY2TY3QSATH2KZMMRJYY00Q0WA1A1CR,3641453964,1805392746,1.210192,1.210192,1.210192,no,false
9053676,zest-v1,SP112B8XRP4BAJ8VKJAA1CD296VCEQX0VBJDEGER5,SP112B8XRP4BAJ8VKJAA1CD296VCEQX0VBJDEGER5,254572537,159907800,0.955197,0.945168,0.965227,yes,true
9053676,zest-v1,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,SP116Z95PQYPC0CHQX5KJFCW5T2WWQBXJ73ZTAFP9,83778,200,209.445,208.1875,210.7,no,true
9053676,zest-v1,SP11877TX1W8QQQH5BXJRD47Q5ZF4WMVP7NF0Y9K9,SP11877TX1W8QQQH5BXJRD47Q5ZF4WMVP7NF0Y9K9,9538802942,4087127732,1.400319,1.400319,1.400319,no,false
9053676,zest-v1,SP11CJX3NEVEE6RZD1M6V06A6Q20B553RJECZY6Q2,SP11CJX3NEVEE6RZD1M6V06A6Q20B553RJECZY6Q2,648086886,7696817,50.521161,50.521161,50.521165,no,true
9053676,zest-v1,SP11EQW67HT9EZFFMFJRBTBMDZ8ED83F41Q47W030,SP11EQW67HT9EZFFMFJRBTBMDZ8ED83F41Q47W030,2883946152,657713400,2.630884,2.60326,2.658508,no,true
9053676,zest-v1,SP11H7YGNJYAPPRMB36S5ZHMPZFHKA0099SADHYP8,SP11H7YGNJYAPPRMB36S5ZHMPZFHKA0099SADHYP8,174866444,130358700,0.804855,0.796404,0.813306,yes,true
9053676,zest-v1,SP11HP6JWVH61F64RR39B33TYPG82VATXTFX20YSJ,SP11HP6JWVH61F64RR39B33TYPG82VATXTFX20YSJ,1891609242,983760492,1.153701,1.153701,1.153701,no,true
9053676,zest-v1,SP11HW0TCRHMVW75C89FKBHJ19GZWYSNPBN6GM0MQ,SP11HW0TCRHMVW75C89FKBHJ19GZWYSNPBN6GM0MQ,157955425,66531300,1.424491,1.409534,1.439448,no,true
9053676,zest-v1,SP11JJ5RT71B3S5V02WGA77A5TW5SD15A5QZ2WT0F,SP11JJ5RT71B3S5V02WGA77A5TW5SD15A5QZ2WT0F,12384136692,6223003835,1.194035,1.194035,1.194035,no,false
9053676,zest-v1,SP11JS1MKCFR0GCZXTJW52B87QK0GZWA2C2VA2SY9,SP11JS1MKCFR0GCZXTJW52B87QK0GZWA2C2VA2SY9,4930174719,1854640507,1.594975,1.594975,1.594975,no,false
9053676,zest-v1,SP11K4RMT2MVYQD17JWGPZRK2EG0RW7C876BCA662,SP11K4RMT2MVYQD17JWGPZRK2EG0RW7C876BCA662,2984712252,1037828291,1.725553,1.725553,1.725553,no,false
9053676,zest-v1,SP11KG08SDVDGC8QF1D1FE9GGT05WB51CMX1B5DK5,SP11KG08SDVDGC8QF1D1FE9GGT05WB51CMX1B5DK5,375980559,278433010,0.810207,0.810207,0.810207,yes,true
9053676,zest-v1,SP11Q6XVWW91NQG0G1KZGFRVATZPZK2N78VNV52ZQ,SP11Q6XVWW91NQG0G1KZGFRVATZPZK2N78VNV52ZQ,11172,11616,0.577066,0.571023,0.583161,yes,true
9053676,zest-v1,SP11V2Y543KRWF5Z48HVC0EQVJQD5JDVEE70EWRKZ,SP11V2Y543KRWF5Z48HVC0EQVJQD5JDVEE70EWRKZ,4511458698,1620574740,1.670318,1.670318,1.670318,no,false
9053676,zest-v1,SP11VMRK069EPB45ZS20MSW3DGD7QZNBPS2191D49,SP11VMRK069EPB45ZS20MSW3DGD7QZNBPS2191D49,4191118,404,6224.432673,6224.432673,6236.258647,no,true
9053676,zest-v1,SP11WB7FSYTQ9V04H54F4JR36616R4SNK8PH8RQ76,SP11WB7FSYTQ9V04H54F4JR36616R4SNK8PH8RQ76,14291133,146,58730.683562,58514.797241,58730.683562,no,true
9053676,zest-v1,SP11XCBWERH2V5SFXWPTSAQNCVXZQEW1FF5040FV8,SP11XCBWERH2V5SFXWPTSAQNCVXZQEW1FF5040FV8,3670825190,1819954679,1.210192,1.210192,1.210192,no,false
9053676,zest-v1,SP11XX0PCQVE313J2X3TAHGQ9T1T0NMMEN4XMHABQ,SP11XX0PCQVE313J2X3TAHGQ9T1T0NMMEN4XMHABQ,0,162540000,0,0,0,yes,true
9053676,zest-v1,SP11Z1W6A7HERV06SH414ZE4FK8STF9N244GK3NSZ,SP11Z1W6A7HERV06SH414ZE4FK8STF9N244GK3NSZ,57842952,71192900,0.487489,0.482371,0.492608,yes,true
9053676,zest-v1,SP11ZVV9T0E7D82BFE6T54N1475E2A2EA383X422J,SP11ZVV9T0E7D82BFE6T54N1475E2A2EA383X422J,249369,120790,1.23869,1.238689,1.238691,no,true
9053676,zest-v1,SP1208E4GZ3B52YK5EW7A04FMYK1Q81HCEPQGAPVW,SP1208E4GZ3B52YK5EW7A04FMYK1Q81HCEPQGAPVW,36922000,19203469,1.153604,1.153604,1.153604,no,true
9053676,zest-v1,SP120TSSBSXH9BFJ5MT2XMY5SC4Z5TAGYP4DBZ0V9,SP120TSSBSXH9BFJ5MT2XMY5SC4Z5TAGYP4DBZ0V9,4616835960,1090648863,2.539866,2.539866,2.539866,no,false
9053676,zest-v1,SP1232YJY3NM44265BK37ZC3S6BQ1JXB4MZG1MAZ9,SP1232YJY3NM44265BK37ZC3S6BQ1JXB4MZG1MAZ9,485284994,142060407,2.049628,2.049628,2.049628,no,true
9053676,zest-v1,SP12827T3YEN8812EXXGYCPY1BW4M3KB6FZ1FCRBD,SP12827T3YEN8812EXXGYCPY1BW4M3KB6FZ1FCRBD,52991636,8540058,3.72304,3.684216,3.76186,no,true
9053676,zest-v1,SP12DQSBFRJATP92VET049BJTJ67J8C20EEAZQVT,SP12DQSBFRJATP92VET049BJTJ67J8C20EEAZQVT,69002897,18195909,2.275332,2.275332,2.275332,no,true
9053676,zest-v1,SP12ES6760QNTDV4Z52CKKCR97W4K9JF35M2VYHSW,SP12ES6760QNTDV4Z52CKKCR97W4K9JF35M2VYHSW,109077209,71776300,0.91181,0.902236,0.921384,yes,true
9053676,zest-v1,SP12FXX43RDKMHD2BNQTT6XYQX4AMEEG52XT36N9S,SP12FXX43RDKMHD2BNQTT6XYQX4AMEEG52XT36N9S,1306623999,300810700,2.606205,2.57884,2.63357,no,true
9053676,zest-v1,SP12M9AB90Y8V5V645SZCM2DBE2GS82XET2CXRJE0,SP12M9AB90Y8V5V645SZCM2DBE2GS82XET2CXRJE0,44561,5849,4.57114,4.570802,4.571472,no,true
9053676,zest-v1,SP12MC1AHWA97GXBWWAEPDZG28GKV5HX425Y2W491,SP12MC1AHWA97GXBWWAEPDZG28GKV5HX425Y2W491,2526396779,901031392,1.682337,1.682337,1.682337,no,true
9053676,zest-v1,SP12QAAEH4R5Z9YBPAXG7FBXATDK0AVMCHAKB9AQM,SP12QAAEH4R5Z9YBPAXG7FBXATDK0AVMCHAKB9AQM,1854807665,926356787,1.201356,1.201356,1.201356,no,true
9053676,zest-v1,SP12RM1MZQC1XRW8DVS92D07TJX8CCEK9K3KK6JV,SP12RM1MZQC1XRW8DVS92D07TJX8CCEK9K3KK6JV,0,7256408,0,0,0,yes,true
